"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Ja'Marr Chase","CIN","WR1","1.6","12.7","0.0","120.7","1,577.6","12.2","0.6","351.9"
"Bijan Robinson","ATL","RB1","299.3","1,401.2","11.3","56.9","428.2","2.1","1.4","317.4"
"Jahmyr Gibbs","DET","RB2","239.9","1,239.5","11.7","57.7","508.8","2.8","1.3","316.7"
"Saquon Barkley","PHI","RB3","327.8","1,661.5","10.8","41.9","318.2","2.2","1.4","315.0"
"Justin Jefferson","MIN","WR2","0.5","2.2","0.0","106.4","1,478.7","9.7","0.6","311.5"
"CeeDee Lamb","DAL","WR3","9.2","59.4","0.3","111.7","1,391.5","8.0","1.0","304.7"
"Christian McCaffrey","SF","RB4","233.2","1,062.6","7.9","65.1","570.1","3.6","1.8","293.5"
"Puka Nacua","LAR","WR4","10.7","61.4","0.6","105.7","1,374.1","7.0","0.6","293.4"
"Amon-Ra St. Brown","DET","WR5","1.9","12.6","0.1","110.4","1,267.6","9.1","0.9","291.2"
"Malik Nabers","NYG","WR6","2.6","12.2","0.0","106.6","1,338.2","8.2","0.6","289.9"
"De'Von Achane","MIA","RB5","218.6","1,014.8","7.6","69.1","510.8","4.1","1.3","289.3"
"Nico Collins","HOU","WR7","0.0","1.6","0.0","92.0","1,313.4","8.9","0.5","275.5"
"Brian Thomas Jr.","JAC","WR8","3.8","25.1","0.0","91.6","1,285.4","8.6","0.6","273.0"
"Derrick Henry","BAL","RB6","295.2","1,508.5","13.3","16.4","153.1","0.9","1.4","264.8"
"Josh Jacobs","GB","RB7","284.2","1,211.8","11.3","38.1","316.0","1.5","1.5","264.2"
"Ashton Jeanty","LV","RB8","273.0","1,204.0","9.0","46.3","366.3","1.9","2.4","263.7"
"Tyreek Hill","MIA","WR9","7.2","40.3","0.1","94.2","1,184.5","7.7","0.6","262.7"
"Drake London","ATL","WR10","0.3","2.0","0.0","94.5","1,204.7","7.9","0.6","261.7"
"A.J. Brown","PHI","WR11","0.0","0.0","0.0","84.8","1,244.6","8.4","0.9","257.6"
"Ladd McConkey","LAC","WR12","0.0","1.4","0.0","91.3","1,219.0","7.4","0.7","256.5"
"Brock Bowers","LV","TE1","0.0","8.0","0.0","106.0","1,131.4","6.1","0.5","255.7"
"Chase Brown","CIN","RB9","234.6","984.0","7.8","54.0","377.5","2.7","1.4","250.3"
"Tee Higgins","CIN","WR13","0.0","0.0","0.0","86.6","1,093.9","8.9","0.9","247.7"
