"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","1","1","1","1","","1.0"
"2","Bijan Robinson","ATL","5","RB1","2","3","4","2","","2.6"
"3","Saquon Barkley","PHI","9","RB2","3","2","2","4","","2.8"
"5","Justin Jefferson","MIN","6","WR2","4","4","5","6","","4.8"
"4","Jahmyr Gibbs","DET","8","RB3","5","5","6","3","","4.6"
"6","CeeDee Lamb","DAL","10","WR3","6","6","3","5","","5.2"
"8","Christian McCaffrey","SF","14","RB4","7","13","11","7","","9.4"
"7","Puka Nacua","LAR","8","WR4","8","8","7","10","","9.2"
"9","Amon-Ra St. Brown","DET","8","WR5","9","7","8","11","","9.4"
"10","Malik Nabers","NYG","14","WR6","10","10","10","9","","9.8"
"12","Ashton Jeanty","LV","8","RB6","11","11","12","8","","10.6"
"13","De'Von Achane","MIA","12","RB7","12","15","13","12","","12.0"
"11","Derrick Henry","BAL","7","RB5","13","9","9","13","","10.2"
"14","Nico Collins","HOU","6","WR7","14","12","16","16","","14.8"
"17","A.J. Brown","PHI","9","WR9","15","18","15","23","","18.8"
"15","Brian Thomas Jr.","JAC","8","WR8","16","14","14","15","","15.4"
"20","Jonathan Taylor","IND","11","RB9","17","24","22","19","","20.4"
"16","Josh Jacobs","GB","5","RB8","18","20","18","14","","16.8"
"19","Brock Bowers","LV","8","TE1","19","16","19","20","","19.8"
"22","Josh Allen","BUF","7","QB2","20","21","21","27","","21.2"
"18","Lamar Jackson","BAL","7","QB1","21","22","17","24","","19.8"
"21","Drake London","ATL","5","WR10","22","17","20","21","","20.8"
"23","Bucky Irving","TB","9","RB10","23","19","25","18","","21.2"
"27","Trey McBride","ARI","8","TE2","24","25","26","29","","28.0"
"28","Jayden Daniels","WAS","12","QB3","25","31","27","33","","29.6"
"24","Kyren Williams","LAR","8","RB11","26","28","23","22","","23.6"
"30","Tee Higgins","CIN","10","WR13","27","30","31","36","","30.8"
"34","Jalen Hurts","PHI","9","QB5","28","36","32","44","","34.6"
"29","Tyreek Hill","MIA","12","WR12","29","26","36","26","","30.4"
"25","Ladd McConkey","LAC","12","WR11","30","23","24","28","","26.6"
"33","Joe Burrow","CIN","10","QB4","31","40","35","37","","33.8"
"26","Chase Brown","CIN","10","RB12","32","29","34","17","","26.8"
"31","James Cook","BUF","7","RB13","33","34","28","31","","31.4"
"39","George Kittle","SF","14","TE3","34","38","38","42","","38.2"
"40","Davante Adams","LAR","8","WR16","35","43","41","40","","39.2"
"35","Jaxon Smith-Njigba","SEA","8","WR14","36","27","39","34","","34.8"
"37","Kenneth Walker III","SEA","8","RB16","37","44","40","35","","38.0"
"36","Alvin Kamara","NO","11","RB15","38","41","46","32","","36.8"
"38","Garrett Wilson","NYJ","9","WR15","39","32","37","39","","38.2"
"41","Mike Evans","TB","9","WR17","40","37","33","49","","39.8"
"42","Terry McLaurin","WAS","12","WR18","41","39","29","48","","40.6"
"49","Sam LaPorta","DET","8","TE4","42","49","44","63","","51.0"
"43","Omarion Hampton","LAC","12","RB17","43","42","50","30","","41.4"
"48","DK Metcalf","PIT","5","WR21","44","47","58","52","","49.8"
"44","Marvin Harrison Jr.","ARI","8","WR19","45","35","43","41","","41.8"
"45","Chuba Hubbard","CAR","14","RB18","46","46","52","38","","45.0"
"50","Patrick Mahomes II","KC","10","QB6","47","54","45","62","","51.0"
"32","Breece Hall","NYJ","9","RB14","48","33","30","25","","33.0"
"46","James Conner","ARI","8","RB19","49","51","49","46","","47.2"
"56","Xavier Worthy","KC","10","WR25","50","56","66","66","","57.6"
"61","Baker Mayfield","TB","9","QB7","51","67","60","75","","62.2"
"47","DJ Moore","CHI","5","WR20","52","48","47","47","","49.0"
"60","Zay Flowers","BAL","7","WR26","53","53","69","70","","61.2"
"59","Travis Kelce","KC","10","TE5","54","65","57","64","","60.4"
"62","T.J. Hockenson","MIN","6","TE6","55","58","51","73","","62.6"
"53","Joe Mixon","HOU","6","RB20","56","57","48","65","","56.0"
"55","D'Andre Swift","CHI","5","RB21","57","72","61","45","","57.4"
"52","Rashee Rice","KC","10","WR23","58","45","42","60","","54.0"
"51","Courtland Sutton","DEN","12","WR22","59","50","54","50","","53.2"
"54","DeVonta Smith","PHI","9","WR24","60","52","53","56","","56.0"
"66","Travis Hunter","JAC","8","WR28","61","64","59","71","","65.4"
"57","David Montgomery","DET","8","RB22","62","55","64","57","","58.6"
"70","Calvin Ridley","TEN","10","WR31","63","75","71","61","","68.0"
